Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,point,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District
X,Not Lockable,06/22/2020 10:00:01 AM,X029,X029,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Aldus St to Bruckner Blvd bet. Bryant Av and Longfellow Av,Lyons Square Playground,POINT (1015206.84555456 238962.87218947706),Adults Allowed,X029-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,202,X-02
Q,Partially Locked,06/04/2020 04:16:17 PM,Q066C,Q066C,,COVID-19 Closure,,,Hoyt Ave. bet. 23 St. and  24 St.,Triborough Bridge Playground C,POINT (1005787.7695764751 221267.2678169757),,,03/31/2020 07:11:11 PM,,401,Q-01
X,Completely Locked,06/22/2020 10:28:08 AM,X283,X283,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Billingsley Ter bet. Phelan Pl and Sedwick Av,Beanstalk Playground,POINT (1007276.699341387 250380.8677261472),Adults Allowed,X283-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,205,X-05
Q,Completely Locked,06/21/2020 02:55:40 PM,Q285,Q285,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Centreville St. bet. 133 Ave. and 103 St.,Al Stabile Playground,POINT (1029905.235120967 186065.839204222),Adults Allowed,Q285-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 02:55:37 PM,410,Q-10
B,Completely Locked,06/22/2020 02:29:16 PM,B307,B307,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Evergreen Ave. between Eldert St. and Covert St.,Tiger Playground,POINT (1008968.7205636351 189945.6460771412),Adults Allowed,B307-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,304,B-04
B,Completely Locked,06/23/2020 10:01:04 AM,B224,B224,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Monroe St. to Madison St. between Patchen Ave. and Ralph Ave.,P.O. Reinaldo Salgado Playground,POINT (1004971.577311218 190006.6836847216),Adults Allowed,B224-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,303,B-03
B,Completely Locked,06/22/2020 03:01:59 PM,B043,B043,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,Franklin St. bet. Commerical St. and Dupoint St.,Greenpoint Playground,POINT (995629.5996041447 207353.6201193929),Adults Allowed,B043-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,301,B-01
R,Completely Locked,06/22/2020 04:48:05 PM,R025,R025,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Beechwood Ave., Crescent Ave. and Jersey St.",Mahoney Playground,POINT (960457.7185044736 173825.7019391507),Adults Allowed,R025-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,501,R-01
M,Completely Locked,06/19/2020 10:10:08 AM,M255,M255,true,Reopened,,,,McKinley Playground,POINT (988202.6092088073 203159.0658444763),,,03/31/2020 07:11:11 PM,06/19/2020 12:00:00 AM,103,M-03
Q,Completely Locked,06/21/2020 04:56:36 PM,Q345,Q345,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Beach 12 St., Redfern Ave.",Redfern Playground,POINT (1053844.013030723 161968.2922550589),Adults Allowed,Q345-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 04:56:33 PM,414,Q-14
M,Completely Locked,06/22/2020 03:43:53 PM,M193,M193,,UnderConstruction,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,5 Ave. and E. 135 St.,Abraham Lincoln Playground,POINT (1001733.2826067209 235115.30901847777),Adults Allowed,M193-CPA-0001,03/31/2020 07:11:11 PM,,111,M-11
B,Completely Locked,06/23/2020 10:08:49 AM,B391,B391,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Argyle Rd. and Cortelyou Rd.,Lt. Federico Narvaez Tot Lot,POINT (993708.6034461411 172544.9118498117),Adults not allowed in some locations,B391-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,314,B-14
M,Completely Locked,06/19/2020 10:10:30 AM,M241,M241,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Rivington St. and Attorney St. bet. Clinton St. and Ridge St.,Nathan Straus Playground,POINT (988638.6080087275 201467.7450801432),Adults Allowed,M241-CPA-0001,03/31/2020 07:11:11 PM,06/19/2020 12:00:00 AM,103,M-03
